regime,rid,D,mean_M,J,J_07,y,theta_A,theta_M
high_perm,0,8,1.4073928851644761,11.259143081315809,6.033625382726696,0,0.15807275239482899,1.4041001803769304
high_perm,0,8,1.254477049544477,10.035816396355816,5.378060844250388,0,0.15807275239482899,1.4041001803769304
high_perm,0,44,0.5498784137610898,24.194650205487953,7.774698293824413,0,0.15807275239482899,1.4041001803769304
high_perm,0,19,1.260583117609451,23.95107923457957,9.901454752857964,0,0.15807275239482899,1.4041001803769304
high_perm,0,11,1.7358978240685603,19.094876064754164,9.300344554663882,0,0.15807275239482899,1.4041001803769304
high_perm,0,40,1.0349336543748486,41.39734617499394,13.688457240210168,0,0.15807275239482899,1.4041001803769304
high_perm,0,33,0.8378002406310774,27.647407940825552,9.685013684102469,0,0.15807275239482899,1.4041001803769304
high_perm,0,35,0.13868894184244232,4.8541129644854815,1.6706653513075287,0,0.15807275239482899,1.4041001803769304
high_perm,0,41,1.0963295922239924,44.94951328118369,14.753322517493174,0,0.15807275239482899,1.4041001803769304
high_perm,0,7,1.8749503349446268,13.124652344612388,7.320797538467181,0,0.15807275239482899,1.4041001803769304
high_perm,0,25,0.8477423203392143,21.193558008480355,8.069040035649415,0,0.15807275239482899,1.4041001803769304
high_perm,0,8,1.7829166906272986,14.263333525018389,7.643531179709475,1,0.15807275239482899,1.4041001803769304
high_perm,0,43,0.04390611800332773,1.8879630741430924,0.6108758540214847,0,0.15807275239482899,1.4041001803769304
high_perm,0,8,1.8010930644521124,14.408744515616899,7.721455000151773,0,0.15807275239482899,1.4041001803769304
high_perm,0,37,0.293064655009776,10.843392235361712,3.6703260867879726,0,0.15807275239482899,1.4041001803769304
high_perm,1,10,1.363304030459149,13.633040304591491,6.8327057561873135,0,0.15218886426266276,1.3457809445493405
high_perm,1,58,0.7116711892756687,41.27692897798879,12.208968691795295,0,0.15218886426266276,1.3457809445493405
high_perm,1,20,1.459549945402032,29.19099890804064,11.883379261567459,0,0.15218886426266276,1.3457809445493405
high_perm,1,11,0.9515064595432712,10.466571054975983,5.097844929029222,0,0.15218886426266276,1.3457809445493405
high_perm,1,70,0.992063930341612,69.44447512391284,19.41369881896813,0,0.15218886426266276,1.3457809445493405
high_perm,1,42,1.0505831313946616,44.12449151857579,14.378213449925056,0,0.15218886426266276,1.3457809445493405
high_perm,1,7,2.2229702991647327,15.560792094153129,8.679651503777805,1,0.15218886426266276,1.3457809445493405
high_perm,1,9,1.2688950025858983,11.420055023273084,5.907387280578734,0,0.15218886426266276,1.3457809445493405
high_perm,1,17,1.3978065997046736,23.76271219497945,10.156903625011015,0,0.15218886426266276,1.3457809445493405
high_perm,1,17,0.837476151251601,14.237094571277217,6.085365856982524,0,0.15218886426266276,1.3457809445493405
high_perm,1,40,0.7165040451464039,28.660161805856156,9.476776547911745,1,0.15218886426266276,1.3457809445493405
high_perm,1,48,0.6223853725355425,29.87449788170604,9.352511337958337,0,0.15218886426266276,1.3457809445493405
high_perm,1,9,1.368077894032115,12.312701046289035,6.369136873875552,0,0.15218886426266276,1.3457809445493405
high_perm,2,13,0.6695340672218347,8.703942873883852,4.032116078442447,0,0.14245270628233636,1.3868999120982028
high_perm,2,24,1.1964492216549156,28.714781319717975,11.067311677209794,0,0.14245270628233636,1.3868999120982028
high_perm,2,28,1.1708723735145252,32.784426458406706,12.064801501116493,0,0.14245270628233636,1.3868999120982028
high_perm,2,26,0.8729151821667951,22.695794736336673,8.539911903632866,0,0.14245270628233636,1.3868999120982028
high_perm,2,53,0.795071327578913,42.138780361682386,12.805578436780472,0,0.14245270628233636,1.3868999120982028
high_perm,2,27,1.7428415336790497,47.056721409334344,17.50703241967181,0,0.14245270628233636,1.3868999120982028
high_perm,2,11,0.909863365324862,10.008497018573483,4.874735527552007,0,0.14245270628233636,1.3868999120982028
high_perm,2,12,1.3444455732910763,16.133346879492915,7.655438955230513,0,0.14245270628233636,1.3868999120982028
high_perm,2,36,0.9833999825640076,35.402399372304274,12.082086670152611,1,0.14245270628233636,1.3868999120982028
high_perm,3,71,0.3888338245022478,27.60720153965959,7.685017859461509,0,0.12863924922136094,1.43855592533224
high_perm,3,15,0.8422517563269667,12.6337763449045,5.6066804785784585,0,0.12863924922136094,1.43855592533224
high_perm,3,22,0.7561119479141094,16.634462854110406,6.580849779616766,0,0.12863924922136094,1.43855592533224
high_perm,3,25,0.8447333728194851,21.11833432048713,8.040400061662806,0,0.12863924922136094,1.43855592533224
high_perm,3,10,1.4088085017491747,14.088085017491746,7.06076835702251,0,0.12863924922136094,1.43855592533224
high_perm,3,12,0.7482564438755525,8.97907732650663,4.260664501966402,0,0.12863924922136094,1.43855592533224
high_perm,3,49,0.6876887086707381,33.696746724866166,10.484051596607868,0,0.12863924922136094,1.43855592533224
high_perm,3,15,0.842694242350532,12.64041363525798,5.609626008500754,1,0.12863924922136094,1.43855592533224
high_perm,3,11,1.8953225684333652,20.848548252767017,10.154487599590778,0,0.12863924922136094,1.43855592533224
high_perm,3,8,1.3879577901207374,11.1036623209659,5.950305306287698,0,0.12863924922136094,1.43855592533224
high_perm,3,11,1.3314131680856318,14.64554484894195,7.133254639832957,0,0.12863924922136094,1.43855592533224
high_perm,3,8,1.00100243304276,8.00801946434208,4.291391374677971,1,0.12863924922136094,1.43855592533224
high_perm,4,34,0.9842154368236097,33.46332485200273,11.617840621054828,0,0.13878641937353045,1.3653186067367875
high_perm,4,7,1.103122989506344,7.721860926544407,4.307175457233166,1,0.13878641937353045,1.3653186067367875
high_perm,4,11,1.4954159481279226,16.449575429407147,8.011925228140473,1,0.13878641937353045,1.3653186067367875
high_perm,4,43,0.23404531220705027,10.063948424903161,3.256325917116396,0,0.13878641937353045,1.3653186067367875
high_perm,4,23,1.3490936544245409,31.02915405176444,12.112996305600223,0,0.13878641937353045,1.3653186067367875
high_perm,4,35,1.1459069458420035,40.10674310447012,13.803746750160904,0,0.13878641937353045,1.3653186067367875
high_perm,4,8,1.8481825587698815,14.785460470159052,7.923332081647928,0,0.13878641937353045,1.3653186067367875
