regime,rid,D,mean_M,J,J_07,y,theta_A,theta_M
high_perm,0,37,0.5415206747709963,20.036264966526865,6.781976008265864,0,0.449149769820808,1.329692319800541
high_perm,0,23,0.6775677006429186,15.584057114787129,6.083621420769774,0,0.449149769820808,1.329692319800541
high_perm,0,7,1.252497559041324,8.76748291328927,4.890412762552815,1,0.449149769820808,1.329692319800541
high_perm,0,9,0.9124233191164208,8.211809872047787,4.247820267923938,0,0.449149769820808,1.329692319800541
high_perm,0,16,1.106233915073957,17.699742641183313,7.7042604632392795,1,0.449149769820808,1.329692319800541
high_perm,0,16,0.7945179431229479,12.712287089967166,5.533344343476481,1,0.449149769820808,1.329692319800541
high_perm,0,14,1.3686682137749513,19.16135499284932,8.68136080396651,1,0.449149769820808,1.329692319800541
high_perm,0,17,0.9407549509828027,15.992834166707645,6.8358221902107825,1,0.449149769820808,1.329692319800541
high_perm,0,29,0.9477950774478981,27.486057245989045,10.009054345317171,1,0.449149769820808,1.329692319800541
high_perm,0,10,1.5310512790440653,15.310512790440654,7.673433550855919,0,0.449149769820808,1.329692319800541
high_perm,0,11,0.97654587862745,10.74200466490195,5.2319975396855805,0,0.449149769820808,1.329692319800541
high_perm,0,8,1.2146372131374843,9.717097705099874,5.20726372659918,0,0.449149769820808,1.329692319800541
high_perm,0,17,0.7878345972509088,13.393188153265449,5.724654668548203,0,0.449149769820808,1.329692319800541
high_perm,1,16,-0.041777080640389694,-0.6684332902462351,-0.2909524886748708,1,0.45801198007501975,1.4089709526141136
high_perm,1,16,1.4651428176067354,23.442285081707766,10.20384724141451,1,0.45801198007501975,1.4089709526141136
high_perm,1,48,0.8981081050243239,43.10918904116755,13.495764209131687,1,0.45801198007501975,1.4089709526141136
high_perm,1,13,0.9269136615859174,12.049877600616925,5.582125930823216,1,0.45801198007501975,1.4089709526141136
high_perm,1,24,0.7332983160980694,17.599159586353665,6.783105266602936,0,0.45801198007501975,1.4089709526141136
high_perm,1,14,1.2369351689284651,17.317092364998512,7.845787886726619,1,0.45801198007501975,1.4089709526141136
high_perm,1,18,1.0426650397907207,18.767970716232973,7.885614926421467,1,0.45801198007501975,1.4089709526141136
high_perm,1,24,1.2431831564424336,29.836395754618408,11.499606682158225,1,0.45801198007501975,1.4089709526141136
high_perm,1,12,1.2023605797012396,14.428326956414875,6.846389473057225,0,0.45801198007501975,1.4089709526141136
high_perm,1,50,0.7921155113175427,39.60577556587713,12.248066081384444,1,0.45801198007501975,1.4089709526141136
high_perm,1,17,0.9087344496951626,15.448485644817763,6.603151128511821,1,0.45801198007501975,1.4089709526141136
high_perm,1,7,1.4016261373837273,9.81138296168609,5.472689588182129,1,0.45801198007501975,1.4089709526141136
high_perm,1,12,1.4402383505474037,17.282860206568845,8.200894846645047,0,0.45801198007501975,1.4089709526141136
high_perm,1,8,1.1894841309198867,9.515873047359094,5.0994301025119215,0,0.45801198007501975,1.4089709526141136
high_perm,2,25,0.750375600747559,18.759390018688975,7.14227733939692,1,0.5039224966022987,1.3314940753417819
high_perm,2,22,0.2218381697755427,4.880439735061939,1.930777148417449,1,0.5039224966022987,1.3314940753417819
high_perm,2,12,1.1791205629207142,14.14944675504857,6.714057950445766,0,0.5039224966022987,1.3314940753417819
high_perm,2,12,1.6349577247549558,19.61949269705947,9.309650985428412,0,0.5039224966022987,1.3314940753417819
high_perm,2,25,0.9803270207628063,24.508175519070157,9.331016971523594,1,0.5039224966022987,1.3314940753417819
high_perm,2,15,0.4846868211024614,7.270302316536921,3.2264511384936525,1,0.5039224966022987,1.3314940753417819
high_perm,2,7,1.3339421103255236,9.337594772278665,5.20841535678182,1,0.5039224966022987,1.3314940753417819
high_perm,2,12,1.5082240112091025,18.09868813450923,8.588013585674856,1,0.5039224966022987,1.3314940753417819
high_perm,2,10,0.7327779194584061,7.3277791945840605,3.6725893831650662,1,0.5039224966022987,1.3314940753417819
high_perm,2,7,1.6269508107095092,11.388655674966564,6.35247625937842,0,0.5039224966022987,1.3314940753417819
high_perm,2,23,0.7435951774405408,17.10268908113244,6.6764568995333695,1,0.5039224966022987,1.3314940753417819
high_perm,2,87,0.4518530990015256,39.31121961313273,10.295815276805012,1,0.5039224966022987,1.3314940753417819
high_perm,2,22,0.8797304300871303,19.354069461916865,7.65676805257771,1,0.5039224966022987,1.3314940753417819
high_perm,2,11,1.4842418086254923,16.326659894880414,7.952058025109531,0,0.5039224966022987,1.3314940753417819
high_perm,3,7,1.2646334045583274,8.852433831908291,4.937797520608671,1,0.41386386112509166,1.3192117678506494
high_perm,3,8,1.2395458831108972,9.916367064887178,5.314049532457494,1,0.41386386112509166,1.3192117678506494
high_perm,3,46,0.7560537655424227,34.77847321495144,11.027654801342099,1,0.41386386112509166,1.3192117678506494
high_perm,3,11,1.2419871758236747,13.661858934060422,6.654140875965449,1,0.41386386112509166,1.3192117678506494
high_perm,3,17,1.566795423951735,26.635522207179495,11.384829721470973,0,0.41386386112509166,1.3192117678506494
