regime,rid,D,mean_M,J,J_07,y,theta_A,theta_M
high_perm,0,18,1.0336298833054798,18.605337899498636,7.817282564518482,0,0.15496143032490178,1.3796513656693175
high_perm,0,25,1.4417301112384378,36.04325278096094,13.722776024121666,0,0.15496143032490178,1.3796513656693175
high_perm,0,43,1.117333829195125,48.04535465539037,15.545720919461287,0,0.15496143032490178,1.3796513656693175
high_perm,0,14,1.0100275257926274,14.140385361096785,6.406529562894613,0,0.15496143032490178,1.3796513656693175
high_perm,0,57,0.6599938970461243,37.61965213162909,11.185420582226723,1,0.15496143032490178,1.3796513656693175
high_perm,0,8,1.507209259871336,12.057674078970688,6.461547548876262,0,0.15496143032490178,1.3796513656693175
high_perm,0,11,1.2533317247039344,13.78664897174328,6.71492107393606,1,0.15496143032490178,1.3796513656693175
high_perm,0,94,0.7276424881705498,68.39839388803168,17.502800706620523,0,0.15496143032490178,1.3796513656693175
high_perm,0,7,1.1387012343091487,7.9709086401640405,4.446091737905234,0,0.15496143032490178,1.3796513656693175
high_perm,0,33,1.2726715775313422,41.99816205853429,14.712148607733534,0,0.15496143032490178,1.3796513656693175
high_perm,0,17,1.0522948598039286,17.889012616666786,7.646306347660067,0,0.15496143032490178,1.3796513656693175
high_perm,0,56,0.9642455945931546,53.99775329721666,16.14058540888908,0,0.15496143032490178,1.3796513656693175
high_perm,0,8,1.1717159693948562,9.37372775515885,5.0232563265095775,0,0.15496143032490178,1.3796513656693175
high_perm,1,12,1.3030103003181117,15.63612360381734,7.41950139915574,1,0.15609724825237772,1.3260425828185654
high_perm,1,26,1.1786364210384424,30.6445469469995,11.53084676233543,0,0.15609724825237772,1.3260425828185654
high_perm,1,7,1.124802189980031,7.8736153298602165,4.39182251934769,0,0.15609724825237772,1.3260425828185654
high_perm,1,34,1.24239825671803,42.24154072841302,14.665473019819423,0,0.15609724825237772,1.3260425828185654
high_perm,1,26,0.8805616144607924,22.894601975980603,8.614718550947373,0,0.15609724825237772,1.3260425828185654
high_perm,1,7,1.2316818887781877,8.621773221447315,4.809137378995302,0,0.15609724825237772,1.3260425828185654
high_perm,1,22,0.6640780781732348,14.609717719811167,5.77982941077806,0,0.15609724825237772,1.3260425828185654
high_perm,1,40,1.0923241118234102,43.69296447293641,14.44752698295157,0,0.15609724825237772,1.3260425828185654
high_perm,1,7,1.0192604711475808,7.134823298033066,3.979731840979393,0,0.15609724825237772,1.3260425828185654
high_perm,1,14,0.800925662479606,11.212959274714484,5.080211977717966,1,0.15609724825237772,1.3260425828185654
high_perm,1,21,1.2826200583638157,26.935021225640128,10.805665855823243,0,0.15609724825237772,1.3260425828185654
high_perm,1,18,0.7871184985873507,14.168132974572313,5.952931329287393,0,0.15609724825237772,1.3260425828185654
high_perm,2,31,1.2652779368058757,39.22361604098215,14.0003573470076,0,0.12742643011741528,1.3404120835078592
high_perm,2,40,0.8898278660932067,35.59311464372827,11.769228534288866,0,0.12742643011741528,1.3404120835078592
high_perm,2,14,1.2866935047208818,18.013709066092346,8.161401314196718,0,0.12742643011741528,1.3404120835078592
high_perm,2,7,1.2519691959743489,8.763784371820442,4.888349753753041,1,0.12742643011741528,1.3404120835078592
high_perm,2,35,1.133686099510274,39.67901348285959,13.656532817609103,0,0.12742643011741528,1.3404120835078592
high_perm,2,18,0.9229700808798148,16.613461455836667,6.980368928344565,0,0.12742643011741528,1.3404120835078592
high_perm,2,22,1.2310325052210942,27.082715114864072,10.714339342255142,0,0.12742643011741528,1.3404120835078592
high_perm,2,14,1.8840774839198438,26.37708477487781,11.950563515627195,0,0.12742643011741528,1.3404120835078592
high_perm,2,11,1.0835200864542955,11.918720950997251,5.805128617711859,1,0.12742643011741528,1.3404120835078592
high_perm,2,7,1.452347917022982,10.166435419160875,5.6707342364104765,0,0.12742643011741528,1.3404120835078592
high_perm,2,44,1.0189472643177595,44.83367962998142,14.406834964120408,0,0.12742643011741528,1.3404120835078592
high_perm,2,51,0.5454003958395086,27.81542018781494,8.550954037990945,0,0.12742643011741528,1.3404120835078592
high_perm,3,10,1.2886948409866326,12.886948409866326,6.458774023438278,0,0.13348178795489632,1.3445741506097888
high_perm,3,11,1.3987382987289785,15.386121286018763,7.493959575048173,0,0.13348178795489632,1.3445741506097888
high_perm,3,18,0.9905946030585745,17.83070285505434,7.49180924823098,0,0.13348178795489632,1.3445741506097888
high_perm,3,14,1.3289644103466134,18.60550174485259,8.429522528347844,1,0.13348178795489632,1.3445741506097888
high_perm,3,63,0.5021738943929145,31.636955346753613,9.128354901835012,0,0.13348178795489632,1.3445741506097888
high_perm,3,16,0.6724726292391316,10.759562067826106,4.683371409482813,0,0.13348178795489632,1.3445741506097888
high_perm,3,14,0.9556518443284305,13.379125820598027,6.061628654843083,0,0.13348178795489632,1.3445741506097888
high_perm,3,39,0.9943810216469074,38.78085984422939,12.92105728347496,1,0.13348178795489632,1.3445741506097888
high_perm,3,8,1.258713825945749,10.069710607565993,5.396224302304722,0,0.13348178795489632,1.3445741506097888
high_perm,3,11,0.9420101762813409,10.36211193909475,5.046967103675631,0,0.13348178795489632,1.3445741506097888
high_perm,3,17,0.885955908372129,15.061250442326193,6.437635062852047,0,0.13348178795489632,1.3445741506097888
high_perm,3,8,2.0536247998844814,16.42899839907585,8.80408225009037,0,0.13348178795489632,1.3445741506097888
high_perm,3,65,0.6874593541850172,44.68485802202612,12.77280774853183,0,0.13348178795489632,1.3445741506097888
high_perm,3,19,0.8860584044868086,16.835109685249364,6.959689589571161,0,0.13348178795489632,1.3445741506097888
high_perm,4,13,1.3156480729717792,17.10342494863313,7.92319018300781,1,0.15065625045136974,1.4115993047055508
high_perm,4,16,1.3789730124880784,22.063568199809254,9.603725862333198,0,0.15065625045136974,1.4115993047055508
high_perm,4,9,1.6269507718328589,14.64255694649573,7.574329062741,0,0.15065625045136974,1.4115993047055508
high_perm,4,8,0.6608821869583799,5.287057495667039,2.8332639593797624,0,0.15065625045136974,1.4115993047055508
high_perm,4,25,1.0224842778612613,25.562106946531532,9.732281114128252,0,0.15065625045136974,1.4115993047055508
high_perm,4,158,1.0993515709955475,173.69754821729651,38.03615094695218,0,0.15065625045136974,1.4115993047055508
high_perm,4,8,1.6582646468919595,13.266117175135676,7.1091361696036754,0,0.15065625045136974,1.4115993047055508
high_perm,4,10,0.7907426893603461,7.907426893603461,3.963101409915013,0,0.15065625045136974,1.4115993047055508
high_perm,4,42,0.9557777374171963,40.142664971522244,13.08071289991845,1,0.15065625045136974,1.4115993047055508
high_perm,4,55,0.9295290202182117,51.124096112001645,15.364443537310455,0,0.15065625045136974,1.4115993047055508
high_perm,5,19,1.4093817084643674,26.77825246082298,11.070217442170321,0,0.12397938353282911,1.3948308411081098
high_perm,5,24,0.7334329534110782,17.602390881865876,6.784350679345476,0,0.12397938353282911,1.3948308411081098
high_perm,5,21,1.176673195487519,24.710137105237898,9.913097248893461,0,0.12397938353282911,1.3948308411081098
high_perm,5,12,1.489018968928284,17.868227627139408,8.47865770564951,0,0.12397938353282911,1.3948308411081098
high_perm,5,14,0.9614803517110103,13.460724923954144,6.098598444180995,0,0.12397938353282911,1.3948308411081098
high_perm,5,27,1.065013207959797,28.75535661491452,10.698173298505072,0,0.12397938353282911,1.3948308411081098
high_perm,5,12,0.9552533005143333,11.463039606172,5.439330140355698,0,0.12397938353282911,1.3948308411081098
high_perm,5,12,1.1329485400882575,13.59538248105909,6.45114875630998,1,0.12397938353282911,1.3948308411081098
high_perm,5,9,1.057364431158768,9.516279880428911,4.922598937527798,0,0.12397938353282911,1.3948308411081098
high_perm,5,7,0.9118516955381489,6.382961868767042,3.560351185696849,0,0.12397938353282911,1.3948308411081098
high_perm,5,27,0.5069414409051437,13.68741890443888,5.092281810651329,0,0.12397938353282911,1.3948308411081098
high_perm,5,8,1.4296886274854246,11.437509019883397,6.129209322515256,1,0.12397938353282911,1.3948308411081098
high_perm,5,18,1.0769114215810123,19.384405588458222,8.144618315923868,0,0.12397938353282911,1.3948308411081098
high_perm,6,35,1.3121132715186739,45.923964503153584,15.805890149535896,0,0.14488002543451173,1.338793186870387
high_perm,6,7,2.261008607763769,15.827060254346383,8.828173174335816,0,0.14488002543451173,1.338793186870387
high_perm,6,7,1.2688353023995742,8.881847116797019,4.954203951648348,0,0.14488002543451173,1.338793186870387
high_perm,6,7,2.1033709966267735,14.723596976387414,8.212672585294536,0,0.14488002543451173,1.338793186870387
high_perm,6,38,0.9807537426942092,37.26864222237995,12.514355608980111,0,0.14488002543451173,1.338793186870387
high_perm,6,28,0.8220766900504665,23.01814732141306,8.470771288576062,1,0.14488002543451173,1.338793186870387
high_perm,6,25,1.4990713623945633,37.47678405986408,14.26856551719294,0,0.14488002543451173,1.338793186870387
